Open,High,Low,Close,Volume,Date
2465.2,2521.71,2437.56,2520.57,12793.02503,2024-09-20
2520.57,2571.72,2517.19,2561,30214.29941,2024-09-20
2561,2564.61,2539.39,2544.96,13119.5709,2024-09-20
2544.96,2569.79,2516.21,2559.84,22650.46695,2024-09-20
2559.84,2569,2525.61,2540.98,16205.44459,2024-09-20
2540.98,2562.4,2538.47,2561.4,5791.32422,2024-09-20
2561.4,2587.4,2534.22,2544.08,10061.04707,2024-09-21
2544.08,2558.98,2529,2555.77,6496.13886,2024-09-21
2555.77,2557.34,2545.04,2556.49,4737.14441,2024-09-21
2556.49,2575.8,2550.44,2559.99,8163.53884,2024-09-21
2559.99,2578.4,2556.2,2572.2,5863.07867,2024-09-21
2572.2,2622.38,2560,2612.41,7301.46503,2024-09-21
2612.41,2631.81,2588.1,2594.71,12106.76283,2024-09-22
2594.71,2604.6,2576.02,2587.93,8739.46275,2024-09-22
2587.93,2595.76,2569.61,2580.58,8253.63414,2024-09-22
2580.58,2588,2556,2570.51,9438.69812,2024-09-22
2570.51,2591.25,2552.84,2578.38,9391.66008,2024-09-22
2578.38,2594,2524.72,2581,11344.83404,2024-09-22
2581,2686.84,2540,2676.7,19386.78335,2024-09-23
2676.7,2681.12,2636.49,2646.34,13268.21094,2024-09-23
2646.34,2662.47,2633.9,2645.99,12123.55461,2024-09-23
2645.99,2685,2632,2675.37,16971.99283,2024-09-23
2675.37,2702.74,2658.09,2672.49,15595.93354,2024-09-23
2672.49,2682.29,2640,2646.98,10357.68429,2024-09-23
2646.98,2651.39,2609.4,2627.4,15384.00431,2024-09-24
2627.4,2649.4,2619.1,2647,9676.86619,2024-09-24
2647,2667.73,2631.58,2636.86,12139.48983,2024-09-24
2636.86,2646.36,2591.56,2612.44,18962.69883,2024-09-24
2612.44,2656.83,2611.07,2650.56,12935.2571,2024-09-24
2650.56,2670.96,2640.47,2653.2,9979.11354,2024-09-24
2653.2,2673.5,2632.6,2646.61,12138.22439,2024-09-25
2646.61,2646.87,2611,2621.48,10902.95497,2024-09-25
2621.48,2630.47,2614,2627.39,9589.5446,2024-09-25
2627.39,2629.51,2595.66,2600.8,12245.50023,2024-09-25
2600.8,2609.39,2565.71,2570.7,10960.02885,2024-09-25
2570.7,2584.75,2555,2579.8,8554.58942,2024-09-25
2579.8,2606.23,2559.2,2602.3,13494.36123,2024-09-26
2602.3,2634.85,2592.32,2629.8,9968.11597,2024-09-26
2629.8,2639.5,2612.83,2628.78,13560.42459,2024-09-26
2628.78,2663.5,2608.34,2652.01,19521.24033,2024-09-26
2652.01,2666.01,2626.81,2649.21,14624.602,2024-09-26
2649.21,2654.97,2617.5,2632.15,7754.9637,2024-09-26
2632.15,2644.89,2615.21,2638.52,9001.19152,2024-09-27
2638.52,2668.36,2636.8,2657.28,17469.10532,2024-09-27
2657.28,2677.61,2641.3,2652,12028.42211,2024-09-27
2652,2699.41,2642.2,2683.63,16263.60955,2024-09-27
2683.63,2727.98,2678.49,2702,16895.91564,2024-09-27
2702,2708.4,2689.99,2694.44,6013.17402,2024-09-27
2694.44,2704.35,2688,2690.31,6200.35625,2024-09-28
2690.31,2700.35,2674.98,2677.93,7631.28346,2024-09-28
2677.93,2678.41,2650.02,2675.23,9228.83346,2024-09-28
2675.23,2675.9,2652.5,2669.9,7219.27412,2024-09-28
2669.9,2684.51,2662.22,2678.33,5502.73155,2024-09-28
2678.33,2680.33,2655.5,2675.21,4454.72084,2024-09-28
2675.21,2683.7,2663.64,2674.96,4487.15755,2024-09-29
2674.96,2674.96,2630.17,2640.32,10399.38525,2024-09-29
2640.32,2655,2634.21,2652.5,7163.0316,2024-09-29
2652.5,2669.2,2641.08,2666.38,9809.566,2024-09-29
2666.38,2671.8,2650.49,2666.78,6702.61833,2024-09-29
2666.78,2673.4,2648,2657.61,7773.00639,2024-09-29
2657.61,2663.5,2601.56,2629.9,20178.90233,2024-09-30
2629.9,2643.53,2623.08,2637.82,8183.54327,2024-09-30
2637.82,2643.08,2592.53,2628.93,13474.1903,2024-09-30
2628.93,2638.8,2594,2596,8728.97016,2024-09-30
2596,2610.01,2575.01,2594.81,10027.94588,2024-09-30
2594.81,2617.46,2576.76,2602.24,8433.79639,2024-09-30
2602.24,2633.3,2591.34,2629.84,11266.07509,2024-10-01
2629.84,2658.65,2627.6,2645.6,9483.50626,2024-10-01
2645.6,2647.19,2628.5,2628.86,8376.34575,2024-10-01
2628.86,2633.42,2481.8,2524.52,23373.87932,2024-10-01
2524.52,2531.21,2430,2488.73,20064.37707,2024-10-01
2488.73,2492.4,2414.01,2447.89,14714.52743,2024-10-01
2447.89,2499.01,2442.14,2489.59,10603.4384,2024-10-02
2489.59,2492.71,2467.45,2482.01,8411.6339,2024-10-02
2482.01,2486.89,2441.72,2455.22,9460.43068,2024-10-02
2455.22,2463.54,2419.21,2460.85,11958.23523,2024-10-02
2460.85,2478.78,2368.18,2372.2,12888.18217,2024-10-02
2372.2,2392.74,2352.52,2364.1,11531.74485,2024-10-02
2364.1,2399.6,2353,2399.33,8483.86633,2024-10-03
2399.33,2403.38,2360,2364.66,8175.30134,2024-10-03
2364.66,2369.99,2319,2352.34,13767.65326,2024-10-03
2352.34,2366.09,2310.01,2340.6,14053.33035,2024-10-03
2340.6,2354.31,2312,2353.63,8837.6184,2024-10-03
2353.63,2357.91,2332.83,2349.8,5171.94957,2024-10-03
2349.8,2379.99,2339.15,2367.06,7840.21595,2024-10-04
2367.06,2387.57,2365.63,2381.59,7490.79186,2024-10-04
2381.59,2393.53,2374.1,2386.2,6453.29468,2024-10-04
2386.2,2418.32,2353,2417.01,14431.16277,2024-10-04
2417.01,2441.64,2409.88,2428.8,10034.50722,2024-10-04
2428.8,2431.74,2412.4,2414.4,3476.6866,2024-10-04
2414.4,2428.2,2390.33,2399.6,4965.17584,2024-10-05
2399.6,2426.99,2397.1,2415.11,3701.06524,2024-10-05
2415.11,2427.8,2415.1,2417.21,3940.17743,2024-10-05
2417.21,2424.14,2404.91,2415.01,5205.2544,2024-10-05
2415.01,2416.1,2392.81,2396.53,4367.07783,2024-10-05
2396.53,2419.51,2390.05,2414.66,3759.31634,2024-10-05
2414.66,2422.89,2407,2413.63,3007.67718,2024-10-06
2413.63,2421.01,2410.35,2417.37,2715.4802,2024-10-06
2417.37,2430.68,2415.63,2426.63,6709.4755,2024-10-06
2426.63,2457.52,2424.9,2446.61,7187.87495,2024-10-06
2446.61,2453,2435.61,2441.39,4670.20802,2024-10-06
2441.39,2444.59,2415.65,2440.02,6084.40356,2024-10-06
2440.02,2512.8,2435.85,2495.34,20476.309,2024-10-07
2495.34,2498.7,2477.24,2480.54,6748.61166,2024-10-07
2480.54,2488.86,2438.38,2475.8,9444.04081,2024-10-07
2475.8,2520.96,2462.67,2474.23,13976.5055,2024-10-07
2474.23,2481.2,2420.24,2445.49,11125.26035,2024-10-07
2445.49,2457.64,2403.1,2422.71,8427.02364,2024-10-07
2422.71,2448.1,2422.69,2438.13,7193.17859,2024-10-08
2438.13,2445.74,2411.5,2428.59,7522.42706,2024-10-08
2428.59,2441.06,2417.4,2439.7,6205.03783,2024-10-08
2439.7,2453.13,2401.18,2419.5,10949.01984,2024-10-08
2419.5,2456,2411.2,2439.41,9178.44113,2024-10-08
2439.41,2466,2434.06,2440.89,5853.36919,2024-10-08
2440.89,2473.11,2427.44,2446.78,9938.27075,2024-10-09
2446.78,2452.61,2432.37,2436.01,5078.19304,2024-10-09
2436.01,2442.55,2427.79,2441.7,5249.42928,2024-10-09
2441.7,2472.08,2423.15,2461.3,11369.7882,2024-10-09
2461.3,2462.54,2407.43,2418.31,10785.10363,2024-10-09
2418.31,2418.31,2351.43,2370.7,10172.28374,2024-10-09
2370.7,2400.6,2366.87,2395.31,11052.15595,2024-10-10
2395.31,2411.39,2391.12,2395.79,6203.82771,2024-10-10
2395.79,2408.11,2368.59,2406.56,8710.3008,2024-10-10
2406.56,2408.94,2370.13,2404.63,13969.46836,2024-10-10
2404.63,2421.11,2331,2367.44,15493.11593,2024-10-10
2367.44,2387.09,2358.66,2386.49,5016.92498,2024-10-10
2386.49,2416.94,2382,2410.78,6590.16215,2024-10-11
