Open,High,Low,Close,Volume,Date
32.45,32.85,32.15,32.4,6160500,2024-05-03
32.6,33.25,32.35,33.2,7627200,2024-05-06
33.2,33.25,32.8,32.8,4941700,2024-05-07
32.65,33.0,32.35,32.6,8398000,2024-05-08
32.8,33.4,32.45,32.9,7196700,2024-05-09
33.15,33.15,32.549,32.85,4656700,2024-05-10
32.85,32.85,32.25,32.299,7004000,2024-05-13
32.4,32.7,32.25,32.299,5643900,2024-05-14
32.45,33.0,32.25,32.35,7928800,2024-05-15
32.8,33.7,32.549,33.2,14193700,2024-05-16
33.35,33.4,32.9,33.1,5948500,2024-05-17
33.3,33.9,33.05,33.35,12148300,2024-05-20
33.45,34.1,33.35,33.65,6079100,2024-05-21
33.85,33.9,32.7,33.0,11642900,2024-05-22
32.95,33.25,32.6,33.25,5573500,2024-05-23
33.1,33.9,32.299,32.5,13921600,2024-05-24
32.7,32.7,32.1,32.4,8217500,2024-05-27
32.45,32.5,31.7,32.2,24685700,2024-05-28
32.2,32.2,31.65,31.65,15631900,2024-05-29
31.35,32.1,31.35,31.8,9617600,2024-05-30
31.8,32.2,31.8,31.9,6190100,2024-05-31
32.25,32.8,32.049,32.6,9928600,2024-06-03
32.7,32.95,32.45,32.8,8842900,2024-06-04
32.9,32.95,32.4,32.4,8383500,2024-06-05
32.5,32.7,32.35,32.6,7437100,2024-06-06
32.8,32.9,32.65,32.8,4307200,2024-06-07
32.95,33.95,32.9,33.5,13316000,2024-06-10
33.95,33.95,33.15,33.2,10714500,2024-06-11
33.25,33.65,32.85,33.5,7591300,2024-06-12
34.0,34.15,33.5,33.9,14006900,2024-06-13
33.9,33.95,32.8,32.8,10429800,2024-06-14
32.8,32.95,32.299,32.75,8417900,2024-06-17
32.75,32.85,32.35,32.35,7746400,2024-06-18
32.4,32.549,31.95,32.5,6704200,2024-06-19
32.299,32.549,32.0,32.2,7044100,2024-06-20
32.4,32.45,32.15,32.2,4903100,2024-06-21
32.2,32.35,31.55,31.65,8439100,2024-06-24
31.9,31.9,31.45,31.6,5413400,2024-06-25
31.6,31.65,31.05,31.3,6556300,2024-06-26
31.3,31.4,31.15,31.3,4084600,2024-06-27
31.3,31.45,31.0,31.0,4521600,2024-06-28
30.85,32.0,30.85,32.0,3924600,2024-07-01
32.0,32.35,31.9,32.299,5122200,2024-07-02
32.35,32.5,32.049,32.35,3316100,2024-07-03
32.4,32.5,32.049,32.299,2526600,2024-07-04
32.35,32.85,32.1,32.7,5590000,2024-07-05
32.75,32.75,32.299,32.6,3851700,2024-07-08
32.6,32.8,32.4,32.7,4731800,2024-07-09
32.7,32.85,32.4,32.4,5205400,2024-07-10
32.5,32.6,32.2,32.2,3867400,2024-07-11
32.2,32.299,31.9,32.0,3874000,2024-07-12
32.049,32.2,32.0,32.1,2451000,2024-07-15
32.15,32.85,32.1,32.5,6589100,2024-07-16
32.7,33.8,32.549,33.0,22598600,2024-07-17
33.3,33.45,32.75,33.45,8111000,2024-07-18
33.25,33.8,32.75,33.4,10147600,2024-07-19
33.2,34.1,33.15,33.65,15868100,2024-07-22
33.7,33.7,32.049,32.4,9825700,2024-07-23
32.35,32.5,31.7,32.2,10316300,2024-07-24
32.0,32.0,31.4,31.55,6106000,2024-07-25
31.55,32.15,31.55,32.049,3281100,2024-07-26
32.15,32.35,32.1,32.1,3120200,2024-07-29
32.0,32.1,31.8,32.0,4284300,2024-07-30
32.0,32.299,31.8,32.0,6542400,2024-07-31
32.0,32.45,31.3,31.45,8811100,2024-08-01
31.05,31.55,30.25,31.55,10408500,2024-08-02
30.9,30.95,30.0,30.15,10630500,2024-08-05
30.5,30.6,29.95,30.55,4871100,2024-08-06
30.65,30.65,30.05,30.2,3892500,2024-08-07
30.2,30.45,30.05,30.2,5155000,2024-08-08
30.35,31.5,30.35,31.5,7179900,2024-08-09
31.55,31.75,31.2,31.7,3052300,2024-08-12
31.85,31.85,31.35,31.85,3764400,2024-08-13
31.85,32.0,31.6,31.8,4668000,2024-08-14
31.8,31.95,31.45,31.85,4421800,2024-08-15
31.85,32.5,31.8,32.5,7856100,2024-08-16
32.5,32.7,32.35,32.65,5863100,2024-08-19
32.65,33.35,32.6,33.2,10766100,2024-08-20
33.25,34.2,33.0,34.2,27480100,2024-08-21
34.35,35.0,34.3,34.6,11485500,2024-08-22
34.4,34.95,34.15,34.95,9860800,2024-08-23
35.0,35.0,34.4,34.6,9584400,2024-08-26
34.6,35.0,34.25,34.85,11698100,2024-08-27
34.9,34.95,34.5,34.9,5938900,2024-08-28
34.95,35.35,34.5,35.0,12531200,2024-08-29
35.0,35.1,34.65,35.05,8124100,2024-08-30
34.6,35.3,34.45,35.3,10446800,2024-09-04
35.2,35.5,34.6,35.0,8504400,2024-09-05
34.8,35.5,34.6,35.5,9157300,2024-09-06
35.2,35.45,35.0,35.45,5375600,2024-09-09
35.4,35.55,34.8,34.95,7474100,2024-09-10
34.95,35.1,34.45,34.95,5494300,2024-09-11
35.25,35.25,34.7,35.0,4999600,2024-09-12
34.8,35.0,34.65,34.9,3439800,2024-09-13
34.95,34.95,34.5,34.65,5810800,2024-09-16
34.55,34.95,34.35,34.95,5230100,2024-09-17
34.95,36.3,34.8,35.7,17487600,2024-09-18
35.7,36.2,35.6,36.0,5835500,2024-09-19
36.05,36.65,35.95,36.0,13164300,2024-09-20
35.95,36.3,35.65,35.9,4440300,2024-09-23
35.9,36.2,35.65,36.05,5546400,2024-09-24
36.5,36.6,36.0,36.0,9797800,2024-09-25
36.0,36.45,35.45,36.4,22830200,2024-09-26
36.45,37.55,36.45,37.0,15617800,2024-09-27
36.9,37.2,36.65,36.95,4842500,2024-09-30
36.95,37.1,36.35,36.5,12315100,2024-10-01
36.15,36.45,35.95,36.0,11271900,2024-10-02
36.0,36.75,35.9,36.2,9111600,2024-10-03
36.15,36.15,35.6,35.6,8545600,2024-10-04
35.9,35.95,35.5,35.8,5298700,2024-10-07
35.8,36.15,35.55,35.75,6638700,2024-10-08
35.8,36.6,35.7,36.1,9143500,2024-10-09
36.45,36.65,36.05,36.15,6226000,2024-10-10
36.25,36.3,35.8,36.25,4217800,2024-10-11
36.4,36.45,36.05,36.05,4041500,2024-10-14
36.25,36.8,36.1,36.15,10587200,2024-10-15
36.1,36.45,35.9,36.3,3778300,2024-10-16
36.5,36.55,36.05,36.55,6200700,2024-10-17
36.8,36.9,36.25,36.25,7054400,2024-10-18
36.1,36.35,35.5,35.5,8242100,2024-10-21
35.5,35.65,34.8,35.0,9519000,2024-10-22
35.0,35.15,34.75,35.05,4488500,2024-10-23
35.0,35.15,34.05,34.85,6405900,2024-10-24
34.75,34.8,34.5,34.6,4448300,2024-10-25
34.65,34.8,34.55,34.7,2288100,2024-10-28
34.7,34.95,34.7,34.95,2890000,2024-10-29
34.9,35.0,34.5,34.75,2626400,2024-10-30
34.9,35.75,34.8,35.7,8400500,2024-10-31
35.55,35.95,35.5,35.6,7983200,2024-11-01
35.55,35.95,35.35,35.7,5247600,2024-11-04
35.5,35.7,35.05,35.05,4093100,2024-11-05
35.2,35.9,35.1,35.9,3543500,2024-11-06
35.9,36.15,35.6,35.6,3822400,2024-11-07
35.7,36.0,34.8,35.0,4916300,2024-11-08
35.0,35.0,33.85,34.95,16325500,2024-11-11
34.8,34.85,34.2,34.5,3342200,2024-11-12
34.45,34.5,33.95,34.35,4244200,2024-11-13
34.3,34.3,33.6,33.6,5270200,2024-11-14
33.6,33.6,32.8,33.1,8350400,2024-11-15
33.1,33.65,32.7,33.3,4072900,2024-11-18
33.5,33.6,33.0,33.35,5280700,2024-11-19
33.05,34.0,33.05,34.0,6494000,2024-11-20
34.0,35.0,33.6,35.0,7810800,2024-11-21
34.9,35.2,34.7,35.0,6181600,2024-11-22
34.95,35.1,34.7,35.1,3824500,2024-11-25
35.0,35.35,34.9,35.3,4538800,2024-11-26
35.1,35.3,34.95,35.15,2761100,2024-11-27
35.3,35.4,34.95,35.4,3289800,2024-11-28
35.5,35.85,35.25,35.75,5142400,2024-11-29
