trade_date,close,open,high,low,volume
20010302,253.64,253.64,253.64,253.64,207610
20010305,250.73,250.73,250.73,250.73,165700
20010307,248.05,248.05,248.05,248.05,202900
20010309,252.61,252.61,252.61,252.61,118320
20010312,255.99,255.99,255.99,255.99,122200
20010314,257.7,257.7,257.7,257.7,143900
20010316,258.52,258.52,258.52,258.52,102470
20010319,260.29,260.29,260.29,260.29,179700
20010321,261.11,261.11,261.11,261.11,83750
20010323,259.6,259.6,259.6,259.6,134900
20010326,260.11,260.11,260.11,260.11,76400
20010328,264.7,264.7,264.7,264.7,88900
20010330,269.3,269.3,269.3,269.3,44100
20010402,274.43,274.43,274.43,274.43,139700
20010404,279.56,279.56,279.56,279.56,56510
20010406,284.69,284.69,284.69,284.69,32610
20010409,289.82,289.82,289.82,289.82,146700
20010411,295.09,295.09,295.09,295.09,98460
20010413,300.36,300.36,300.36,300.36,67800
20010416,306.16,306.16,306.16,306.16,43800
20010418,311.96,311.96,311.96,311.96,61000
20010420,317.76,317.76,317.76,317.76,123200
20010423,313.74,313.74,313.74,313.74,321600
20010425,315.27,315.27,315.27,315.27,417300
20010427,321.07,321.07,321.07,321.07,49600
20010502,327.13,327.13,327.13,327.13,43770
20010504,332.0,332.0,332.0,332.0,115100
20010507,338.35,338.35,338.35,338.35,64500
20010509,344.47,344.47,344.47,344.47,160930
20010511,351.06,351.06,351.06,351.06,25600
20010514,357.65,357.65,357.65,357.65,60350
20010516,364.27,364.27,364.27,364.27,25100
20010518,370.9,370.9,370.9,370.9,56200
20010521,377.43,377.43,377.43,377.43,52100
20010523,384.16,384.16,384.16,384.16,230100
20010525,390.88,390.88,390.88,390.88,83500
20010528,397.5,397.5,397.5,397.5,131900
20010530,404.26,404.26,404.26,404.26,14300
20010601,411.03,411.03,411.03,411.03,16310
20010604,417.79,417.79,417.79,417.79,21700
20010606,424.56,424.56,424.56,424.56,24840
20010608,426.58,426.58,426.58,426.58,193310
20010611,428.02,428.02,428.02,428.02,425300
20010613,456.18,456.18,456.18,456.18,122400
20010615,486.34,486.34,486.34,486.34,73910
20010618,518.62,518.62,518.62,518.62,210100
20010620,553.56,553.56,553.56,553.56,141000
20010622,563.0,563.0,563.0,563.0,544250
20010625,571.04,571.04,571.04,571.04,268110
20010627,531.93,531.93,531.93,531.93,79700
20010629,500.28,500.28,500.28,500.28,119750
20010702,491.17,491.17,491.17,491.17,181400
20010704,512.8,512.8,512.8,512.8,268300
20010706,502.93,502.93,502.93,502.93,223500
20010709,470.83,470.83,470.83,470.83,109100
20010711,436.13,436.13,436.13,436.13,93000
20010713,416.46,416.46,416.46,416.46,169000
20010716,411.43,411.43,411.43,411.43,122000
20010718,438.12,438.12,438.12,438.12,99400
20010720,466.67,466.67,466.67,466.67,75600
20010723,438.33,438.33,438.33,438.33,274800
20010725,450.87,450.87,450.87,450.87,142400
20010727,445.37,445.37,445.37,445.37,96900
20010730,422.46,422.46,422.46,422.46,100200
20010801,395.63,395.63,395.63,395.63,121100
20010803,371.76,371.76,371.76,371.76,64200
20010806,350.69,350.69,350.69,350.69,75990
20010808,373.63,373.63,373.63,373.63,261300
20010810,394.18,394.18,394.18,394.18,212800
20010813,368.34,368.34,368.34,368.34,128650
20010815,344.31,344.31,344.31,344.31,72150
20010817,321.83,321.83,321.83,321.83,184600
20010820,302.25,302.25,302.25,302.25,201050
20010822,320.98,320.98,320.98,320.98,167000
20010824,300.03,300.03,300.03,300.03,153800
20010827,279.65,279.65,279.65,279.65,54700
20010829,261.35,261.35,261.35,261.35,120750
20010831,277.4,277.4,277.4,277.4,296800
20010905,296.43,296.43,296.43,296.43,91300
20010907,307.76,307.76,307.76,307.76,245500
20010910,286.55,286.55,286.55,286.55,265650
20010912,284.68,284.68,284.68,284.68,197200
20010914,274.64,274.64,274.64,274.64,155200
20010917,266.09,266.09,266.09,266.09,135300
20010919,273.37,273.37,273.37,273.37,158450
20010921,272.03,272.03,272.03,272.03,113300
20010924,259.75,259.75,259.75,259.75,150900
20010926,249.72,249.72,249.72,249.72,134100
20010928,244.46,244.46,244.46,244.46,140700
20011001,229.06,229.06,229.06,229.06,142200
20011003,214.29,214.29,214.29,214.29,101580
20011005,203.12,203.12,203.12,203.12,211800
20011008,217.1,217.1,217.1,217.1,299000
20011010,221.18,221.18,221.18,221.18,156200
20011012,225.27,225.27,225.27,225.27,1200
20011015,229.35,229.35,229.35,229.35,988600
20011017,233.48,233.48,233.48,233.48,10700
20011019,237.62,237.62,237.62,237.62,8700
20011022,242.01,242.01,242.01,242.01,17700
20011024,246.41,246.41,246.41,246.41,53500
20011026,250.85,250.85,250.85,250.85,23410
20011029,255.55,255.55,255.55,255.55,408390
20011031,260.29,260.29,260.29,260.29,52900
20011102,265.03,265.03,265.03,265.03,65500
20011105,269.77,269.77,269.77,269.77,69500
20011107,274.89,274.89,274.89,274.89,24900
20011109,280.03,280.03,280.03,280.03,21530
20011112,285.06,285.06,285.06,285.06,24900
20011114,290.51,290.51,290.51,290.51,33200
20011116,295.97,295.97,295.97,295.97,24400
20011119,301.09,301.09,301.09,301.09,53900
20011121,296.11,296.11,296.11,296.11,300700
20011123,292.17,292.17,292.17,292.17,184900
20011126,296.9,296.9,296.9,296.9,278300
20011128,293.03,293.03,293.03,293.03,156300
20011130,288.52,288.52,288.52,288.52,41600
20011203,283.02,283.02,283.02,283.02,28200
20011205,279.15,279.15,279.15,279.15,18000
20011207,275.49,275.49,275.49,275.49,72600
20011210,271.62,271.62,271.62,271.62,149300
20011212,267.83,267.83,267.83,267.83,78500
20011214,263.04,263.04,263.04,263.04,47400
20011217,259.08,259.08,259.08,259.08,26900
20011219,247.26,247.26,247.26,247.26,85500
20011221,250.95,250.95,250.95,250.95,362700
20011224,248.05,248.05,248.05,248.05,174900
20011226,242.75,242.75,242.75,242.75,145500
20011228,239.27,239.27,239.27,239.27,72900
20011231,235.4,235.4,235.4,235.4,43900
20020102,231.7,231.7,231.7,231.7,64310
20020104,227.79,227.79,227.79,227.79,41410
20020107,225.95,225.95,225.95,225.95,284020
20020109,222.9,222.9,222.9,222.9,188720
20020111,219.22,219.22,219.22,219.22,79210
20020114,214.16,214.16,214.16,214.16,52210
20020116,210.68,210.68,210.68,210.68,32420
20020118,206.79,206.79,206.79,206.79,30810
20020121,203.27,203.27,203.27,203.27,79500
20020123,206.01,206.01,206.01,206.01,325120
20020125,209.02,209.02,209.02,209.02,0
20020128,210.76,210.76,210.76,210.76,121520
20020130,207.55,207.55,207.55,207.55,548820
20020201,204.48,204.48,204.48,204.48,277740
20020204,203.77,203.77,203.77,203.77,271120
20020206,205.37,205.37,205.37,205.37,183320
20020208,205.2,205.2,205.2,205.2,286820
20020218,202.89,202.89,202.89,202.89,58510
20020220,199.52,199.52,199.52,199.52,91720
20020222,196.58,196.58,196.58,196.58,124100
20020225,193.79,193.79,193.79,193.79,181500
20020227,191.1,191.1,191.1,191.1,85420
20020301,193.59,193.59,193.59,193.59,454230
20020304,190.98,190.98,190.98,190.98,209730
20020305,188.22,188.22,188.22,188.22,136830
20020306,185.74,185.74,185.74,185.74,150710
20020307,183.2,183.2,183.2,183.2,173000
20020308,181.2,181.2,181.2,181.2,181410
20020311,180.73,180.73,180.73,180.73,348000
20020312,182.92,182.92,182.92,182.92,148510
20020313,185.66,185.66,185.66,185.66,79020
20020314,188.97,188.97,188.97,188.97,96560
20020315,192.39,192.39,192.39,192.39,194700
20020318,190.3,190.3,190.3,190.3,413510
20020319,187.06,187.06,187.06,187.06,140720
20020320,189.05,189.05,189.05,189.05,386420
20020321,189.26,189.26,189.26,189.26,129410
20020322,187.67,187.67,187.67,187.67,136300
20020325,188.71,188.71,188.71,188.71,97400
20020326,191.97,191.97,191.97,191.97,117000
20020327,195.11,195.11,195.11,195.11,126600
20020328,197.89,197.89,197.89,197.89,138300
20020329,200.15,200.15,200.15,200.15,118400
20020401,203.14,203.14,203.14,203.14,144400
20020402,203.22,203.22,203.22,203.22,174800
20020403,202.16,202.16,202.16,202.16,359500
20020404,201.38,201.38,201.38,201.38,208100
20020405,198.77,198.77,198.77,198.77,114000
20020408,198.52,198.52,198.52,198.52,148400
20020409,200.48,200.48,200.48,200.48,139500
20020410,200.85,200.85,200.85,200.85,128200
20020411,200.36,200.36,200.36,200.36,146000
20020412,199.69,199.69,199.69,199.69,107700
20020415,200.4,200.4,200.4,200.4,105900
20020416,198.44,198.44,198.44,198.44,116200
20020417,197.12,197.12,197.12,197.12,100030
20020418,199.31,199.31,199.31,199.31,160300
20020419,201.43,201.43,201.43,201.43,175800
20020422,201.14,201.14,201.14,201.14,148600
20020423,202.81,202.81,202.81,202.81,238800
20020424,205.65,205.65,205.65,205.65,205500
20020425,207.06,207.06,207.06,207.06,341250
20020426,208.48,208.48,208.48,208.48,234500
20020502,209.52,209.52,209.52,209.52,401400
20020503,212.95,212.95,212.95,212.95,275400
20020506,214.23,214.23,214.23,214.23,284100
20020507,210.43,210.43,210.43,210.43,240200
20020508,207.05,207.05,207.05,207.05,235300
20020509,208.85,208.85,208.85,208.85,185700
20020510,211.88,211.88,211.88,211.88,216100
20020513,209.62,209.62,209.62,209.62,281800
20020514,209.88,209.88,209.88,209.88,208800
20020515,209.82,209.82,209.82,209.82,246600
20020516,209.08,209.08,209.08,209.08,233400
20020517,209.79,209.79,209.79,209.79,504860
20020520,208.14,208.14,208.14,208.14,173500
20020521,208.93,208.93,208.93,208.93,179400
20020522,209.66,209.66,209.66,209.66,163700
20020523,208.93,208.93,208.93,208.93,135000
20020524,208.04,208.04,208.04,208.04,202900
20020527,206.3,206.3,206.3,206.3,196300
20020528,205.02,205.02,205.02,205.02,246600
20020529,203.65,203.65,203.65,203.65,180600
20020530,203.77,203.77,203.77,203.77,129100
20020531,207.12,207.12,207.12,207.12,189300
20020603,207.81,207.81,207.81,207.81,131900
20020604,205.68,205.68,205.68,205.68,93500
20020605,205.48,205.48,205.48,205.48,74000
20020606,205.07,205.07,205.07,205.07,84900
20020607,203.06,203.06,203.06,203.06,84800
20020610,204.88,204.88,204.88,204.88,88900
20020611,203.53,203.53,203.53,203.53,74500
20020612,203.79,203.79,203.79,203.79,88810
20020613,202.35,202.35,202.35,202.35,65700
20020614,200.75,200.75,200.75,200.75,117000
20020617,197.77,197.77,197.77,197.77,118200
20020618,195.59,195.59,195.59,195.59,72000
20020619,192.13,192.13,192.13,192.13,151400
20020620,193.32,193.32,193.32,193.32,188600
20020621,196.89,196.89,196.89,196.89,43700
20020624,200.5,200.5,200.5,200.5,38400
20020625,202.4,202.4,202.4,202.4,146300
20020626,200.5,200.5,200.5,200.5,201400
20020627,199.61,199.61,199.61,199.61,129900
20020628,202.06,202.06,202.06,202.06,141150
20020701,200.26,200.26,200.26,200.26,98900
20020702,199.94,199.94,199.94,199.94,131000
20020703,199.61,199.61,199.61,199.61,92600
20020704,199.7,199.7,199.7,199.7,137500
20020705,200.5,200.5,200.5,200.5,119500
20020708,200.19,200.19,200.19,200.19,89300
20020709,199.0,199.0,199.0,199.0,187700
20020710,197.27,197.27,197.27,197.27,257400
20020711,197.25,197.25,197.25,197.25,152800
20020712,198.17,198.17,198.17,198.17,134000
20020715,197.37,197.37,197.37,197.37,383220
20020716,196.85,196.85,196.85,196.85,96000
20020717,194.3,194.3,194.3,194.3,150400
20020718,192.42,192.42,192.42,192.42,86000
20020719,191.25,191.25,191.25,191.25,125600
20020722,193.36,193.36,193.36,193.36,434200
20020723,196.85,196.85,196.85,196.85,153700
20020724,197.42,197.42,197.42,197.42,289500
20020725,194.49,194.49,194.49,194.49,184300
20020726,195.79,195.79,195.79,195.79,116500
20020729,195.16,195.16,195.16,195.16,132000
20020730,196.94,196.94,196.94,196.94,105700
20020731,197.57,197.57,197.57,197.57,181600
20020801,197.12,197.12,197.12,197.12,114910
20020802,195.06,195.06,195.06,195.06,92400
20020805,193.67,193.67,193.67,193.67,155400
20020806,194.34,194.34,194.34,194.34,86800
20020807,194.06,194.06,194.06,194.06,106900
20020808,193.39,193.39,193.39,193.39,110300
20020809,192.49,192.49,192.49,192.49,141050
20020812,191.53,191.53,191.53,191.53,115700
20020813,189.78,189.78,189.78,189.78,158800
20020814,188.73,188.73,188.73,188.73,128500
20020815,189.55,189.55,189.55,189.55,175400
20020816,191.67,191.67,191.67,191.67,105300
20020819,192.67,192.67,192.67,192.67,0
20020820,190.96,190.96,190.96,190.96,110000
20020821,190.9,190.9,190.9,190.9,173800
20020822,190.95,190.95,190.95,190.95,169600
20020823,190.21,190.21,190.21,190.21,169200
20020826,189.97,189.97,189.97,189.97,134000
20020827,189.32,189.32,189.32,189.32,128400
20020828,190.54,190.54,190.54,190.54,125300
20020829,191.28,191.28,191.28,191.28,169500
20020830,191.66,191.66,191.66,191.66,181600
20020903,191.43,191.43,191.43,191.43,88200
20020904,190.59,190.59,190.59,190.59,148100
20020905,190.54,190.54,190.54,190.54,96900
20020906,190.45,190.45,190.45,190.45,82200
20020909,190.21,190.21,190.21,190.21,102700
20020910,189.86,189.86,189.86,189.86,95300
20020911,189.4,189.4,189.4,189.4,161779
20020912,189.14,189.14,189.14,189.14,80200
20020913,188.72,188.72,188.72,188.72,116700
20020916,188.66,188.66,188.66,188.66,126800
20020917,186.87,186.87,186.87,186.87,121500
20020918,185.0,185.0,185.0,185.0,129400
20020919,184.69,184.69,184.69,184.69,111100
20020920,183.83,183.83,183.83,183.83,127500
20020923,182.33,182.33,182.33,182.33,134500
20020924,179.93,179.93,179.93,179.93,116500
20020925,181.66,181.66,181.66,181.66,117100
20020926,183.67,183.67,183.67,183.67,123050
20020927,182.62,182.62,182.62,182.62,122600
20020930,182.13,182.13,182.13,182.13,76200
20021001,182.97,182.97,182.97,182.97,76850
20021002,182.84,182.84,182.84,182.84,67500
20021003,183.4,183.4,183.4,183.4,88100
20021004,182.49,182.49,182.49,182.49,71900
20021007,181.71,181.71,181.71,181.71,88500
20021008,180.02,180.02,180.02,180.02,140600
20021009,178.85,178.85,178.85,178.85,134400
20021010,179.1,179.1,179.1,179.1,516200
20021011,179.33,179.33,179.33,179.33,36100
20021014,180.1,180.1,180.1,180.1,109300
20021015,180.63,180.63,180.63,180.63,122400
20021016,180.13,180.13,180.13,180.13,73200
20021017,179.66,179.66,179.66,179.66,91100
20021018,178.64,178.64,178.64,178.64,124620
20021021,178.66,178.66,178.66,178.66,66610
20021022,179.39,179.39,179.39,179.39,101580
20021023,179.1,179.1,179.1,179.1,71500
20021024,178.94,178.94,178.94,178.94,90900
20021025,178.81,178.81,178.81,178.81,68600
20021028,178.8,178.8,178.8,178.8,105200
20021029,177.92,177.92,177.92,177.92,100600
20021030,177.61,177.61,177.61,177.61,55700
20021031,177.61,177.61,177.61,177.61,53800
20021101,177.35,177.35,177.35,177.35,78400
20021104,176.57,176.57,176.57,176.57,386900
20021105,175.02,175.02,175.02,175.02,288200
20021106,174.84,174.84,174.84,174.84,57110
20021107,174.62,174.62,174.62,174.62,87010
20021108,174.88,174.88,174.88,174.88,64710
20021111,175.19,175.19,175.19,175.19,60070
20021112,175.27,175.27,175.27,175.27,58200
20021113,175.63,175.63,175.63,175.63,65300
20021114,175.42,175.42,175.42,175.42,91600
20021115,175.77,175.77,175.77,175.77,70700
20021118,175.73,175.73,175.73,175.73,76300
20021119,175.54,175.54,175.54,175.54,64400
20021120,176.08,176.08,176.08,176.08,51100
20021121,176.47,176.47,176.47,176.47,104100
20021122,175.24,175.24,175.24,175.24,64300
20021125,176.47,176.47,176.47,176.47,54500
20021126,176.5,176.5,176.5,176.5,99200
20021127,176.44,176.44,176.44,176.44,80100
20021128,177.25,177.25,177.25,177.25,79300
20021129,177.87,177.87,177.87,177.87,40000
20021202,179.27,179.27,179.27,179.27,95860
20021203,183.56,183.56,183.56,183.56,89530
20021204,187.21,187.21,187.21,187.21,181770
20021205,186.83,186.83,186.83,186.83,235500
20021206,184.55,184.55,184.55,184.55,136700
20021209,183.62,183.62,183.62,183.62,124600
20021210,184.75,184.75,184.75,184.75,74300
20021211,184.34,184.34,184.34,184.34,102900
20021212,183.69,183.69,183.69,183.69,68400
20021213,184.15,184.15,184.15,184.15,101200
20021216,184.74,184.74,184.74,184.74,86700
20021217,185.37,185.37,185.37,185.37,138220
20021218,185.96,185.96,185.96,185.96,150300
20021219,186.18,186.18,186.18,186.18,0
20021220,184.94,184.94,184.94,184.94,115700
20021223,184.23,184.23,184.23,184.23,73400
20021224,184.18,184.18,184.18,184.18,122500
20021225,184.14,184.14,184.14,184.14,92900
20021226,183.78,183.78,183.78,183.78,107400
20021227,183.05,183.05,183.05,183.05,70700
20021230,182.65,182.65,182.65,182.65,54700
20021231,183.33,183.33,183.33,183.33,65900
20030102,183.41,183.41,183.41,183.41,30300
20030103,182.39,182.39,182.39,182.39,58100
20030106,181.76,181.76,181.76,181.76,52400
20030107,180.63,180.63,180.63,180.63,67400
20030108,179.79,179.79,179.79,179.79,42500
20030109,178.93,178.93,178.93,178.93,47450
20030110,178.67,178.67,178.67,178.67,41500
20030113,178.03,178.03,178.03,178.03,69900
20030114,177.31,177.31,177.31,177.31,39100
20030115,176.43,176.43,176.43,176.43,62700
20030116,173.11,173.11,173.11,173.11,104600
20030117,173.05,173.05,173.05,173.05,62700
20030120,171.4,171.4,171.4,171.4,65500
20030121,171.36,171.36,171.36,171.36,71300
20030122,170.55,170.55,170.55,170.55,92700
20030123,172.03,172.03,172.03,172.03,62200
20030124,172.66,172.66,172.66,172.66,66800
20030127,172.3,172.3,172.3,172.3,96300
20030128,172.38,172.38,172.38,172.38,109500
20030210,170.94,170.94,170.94,170.94,77300
20030211,167.59,167.59,167.59,167.59,141600
20030212,163.91,163.91,163.91,163.91,194500
20030213,167.07,167.07,167.07,167.07,99700
20030214,168.73,168.73,168.73,168.73,85470
20030217,168.49,168.49,168.49,168.49,77850
20030218,167.23,167.23,167.23,167.23,72800
20030219,166.31,166.31,166.31,166.31,66600
20030220,165.99,165.99,165.99,165.99,83200
20030221,164.62,164.62,164.62,164.62,93150
20030224,165.48,165.48,165.48,165.48,89600
20030225,165.29,165.29,165.29,165.29,80600
20030226,164.71,164.71,164.71,164.71,44500
20030227,164.69,164.69,164.69,164.69,43400
20030228,164.61,164.61,164.61,164.61,80200
20030303,165.58,165.58,165.58,165.58,71300
20030304,164.91,164.91,164.91,164.91,77700
20030305,164.34,164.34,164.34,164.34,92300
20030306,164.28,164.28,164.28,164.28,67800
20030307,164.02,164.02,164.02,164.02,62000
20030310,163.57,163.57,163.57,163.57,73200
20030311,162.86,162.86,162.86,162.86,62200
20030312,162.11,162.11,162.11,162.11,83700
20030313,161.63,161.63,161.63,161.63,91300
20030314,161.3,161.3,161.3,161.3,65000
20030317,160.7,160.7,160.7,160.7,88500
20030318,157.83,157.83,157.83,157.83,72200
20030319,157.95,157.95,157.95,157.95,79900
20030320,156.14,156.14,156.14,156.14,92400
20030321,155.24,155.24,155.24,155.24,156000
20030324,153.94,153.94,153.94,153.94,100200
20030325,153.07,153.07,153.07,153.07,94000
20030326,152.36,152.36,152.36,152.36,105900
20030327,151.96,151.96,151.96,151.96,92700
20030328,150.53,150.53,150.53,150.53,107100
20030331,145.41,145.41,145.41,145.41,89400
20030401,139.64,139.64,139.64,139.64,160500
20030402,144.93,144.93,144.93,144.93,242900
20030403,149.18,149.18,149.18,149.18,250200
20030404,150.22,150.22,150.22,150.22,209800
20030407,149.39,149.39,149.39,149.39,121600
20030408,147.14,147.14,147.14,147.14,73900
20030409,146.49,146.49,146.49,146.49,69900
20030410,147.66,147.66,147.66,147.66,104200
20030411,149.27,149.27,149.27,149.27,113100
20030414,149.02,149.02,149.02,149.02,107000
20030415,148.69,148.69,148.69,148.69,111900
20030416,148.78,148.78,148.78,148.78,96400
20030417,150.67,150.67,150.67,150.67,180200
20030418,152.17,152.17,152.17,152.17,103300
20030421,151.97,151.97,151.97,151.97,60200
20030422,151.96,151.96,151.96,151.96,126100
20030423,152.58,152.58,152.58,152.58,94400
20030424,152.98,152.98,152.98,152.98,85500
20030425,152.96,152.96,152.96,152.96,182000
20030428,152.75,152.75,152.75,152.75,129200
20030429,152.54,152.54,152.54,152.54,102500
20030505,152.21,152.21,152.21,152.21,317900
20030506,153.29,153.29,153.29,153.29,110000
20030507,154.82,154.82,154.82,154.82,181900
20030508,155.92,155.92,155.92,155.92,139700
20030509,156.57,156.57,156.57,156.57,105300
20030512,157.89,157.89,157.89,157.89,145200
20030513,158.54,158.54,158.54,158.54,174
20030514,157.4,157.4,157.4,157.4,160600
20030515,155.67,155.67,155.67,155.67,192000
20030516,155.8,155.8,155.8,155.8,167800
20030519,154.18,154.18,154.18,154.18,99900
20030520,154.18,153.9,154.18,153.9,101970
20030521,153.36,154.4,154.4,153.36,22000
20030522,153.18,152.92,153.18,152.92,108830
20030523,152.92,153.32,153.32,152.92,22400
20030526,152.78,153.33,153.33,152.78,131600
20030527,152.56,152.81,152.81,152.56,118570
20030528,152.74,153.04,153.04,152.74,105010
20030529,152.32,152.74,152.74,152.32,106380
20030530,152.24,152.48,152.48,152.24,110860
20030602,151.66,151.45,151.66,151.45,54900
20030603,151.6,151.69,151.69,151.6,107630
20030604,151.61,151.63,151.63,151.61,36640
20030605,151.69,150.79,151.69,150.79,70850
20030606,151.82,151.47,151.82,151.47,66130
20030609,152.35,152.49,152.49,152.35,75020
20030610,152.23,152.2,152.23,152.2,131630
20030611,152.25,152.21,152.25,152.21,92760
20030612,152.4,152.43,152.43,152.4,71800
20030613,152.2,152.59,152.59,152.2,60120
20030616,151.97,151.99,151.99,151.97,119470
20030617,151.67,151.87,151.87,151.67,92000
20030618,151.73,151.62,151.73,151.62,121220
20030619,152.02,151.97,152.02,151.97,82120
20030620,152.43,152.43,152.43,152.43,99420
20030623,151.59,152.24,152.24,151.59,86020
20030624,152.01,151.8,152.01,151.8,41430
20030625,152.64,152.21,152.64,152.21,32410
20030626,151.88,152.4,152.4,151.88,62580
20030627,152.0,152.17,152.17,152.0,76870
20030630,152.27,151.71,152.27,151.71,670500
20030701,152.62,152.29,152.62,152.29,95120
20030702,151.68,154.14,154.14,151.68,252100
20030703,151.84,151.56,151.84,151.56,57450
20030704,152.18,152.15,152.18,152.15,39760
20030707,152.18,152.08,152.18,152.08,61880
20030708,152.26,151.84,152.26,151.84,54730
20030709,151.1,152.22,152.22,151.1,55090
20030710,151.2,151.33,151.33,151.2,59590
20030711,151.22,151.66,151.66,151.22,43070
20030714,150.81,151.48,151.48,150.81,25760
20030715,150.59,150.6,150.6,150.59,94030
20030716,150.68,150.76,150.76,150.68,47250
20030717,150.27,150.65,150.65,150.27,49320
20030718,150.34,150.75,150.75,150.34,48290
20030721,149.93,150.12,150.12,149.93,43310
20030722,149.2,149.74,149.74,149.2,45890
20030723,149.63,149.28,149.63,149.28,35860
20030724,149.87,150.07,150.07,149.87,23310
20030725,149.29,149.92,149.92,149.29,23690
20030728,148.8,148.78,148.8,148.78,53200
20030729,148.02,148.69,148.69,148.02,543190
20030730,147.27,147.91,147.91,147.27,75500
20030731,146.32,147.13,147.13,146.32,727710
20030801,144.89,144.99,144.99,144.89,49940
20030804,143.89,144.55,144.55,143.89,121770
20030805,143.43,143.2,143.43,143.2,564250
20030806,142.66,143.17,143.17,142.66,48320
20030807,142.12,142.16,142.16,142.12,126200
20030808,140.96,141.55,141.55,140.96,80820
20030811,141.66,141.26,141.66,141.26,44880
20030812,141.9,141.8,141.9,141.8,70060
20030813,141.89,140.99,141.89,140.99,87590
20030814,142.73,141.93,142.73,141.93,46180
20030815,142.9,143.49,143.49,142.9,84500
20030818,143.0,143.25,143.25,143.0,127330
20030819,142.87,142.9,142.9,142.87,38760
20030820,142.25,142.63,142.63,142.25,63460
